Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,6.532,12871.081,44.872,20854,289.563
CrawlerDynamicLearning,6.520,12914.386,35.219,20256,201.104
CrawlerDynamicLearning,6.516,12972.666,49.637,21232,154.405
CrawlerDynamicLearning,6.526,13021.847,40.887,20903,223.493
CrawlerDynamicLearning,6.497,13074.787,44.547,20679,270.597
CrawlerDynamicLearning,6.475,13122.781,39.791,20354,101.232
CrawlerDynamicLearning,6.567,13171.283,40.253,20895,238.257
CrawlerDynamicLearning,6.487,13227.321,47.503,20320,174.198
CrawlerDynamicLearning,6.478,13278.642,43.150,20384,367.201
CrawlerDynamicLearning,6.539,13324.410,37.621,20993,221.174
CrawlerDynamicLearning,6.489,13374.549,41.848,20327,18.969
CrawlerDynamicLearning,6.494,13427.112,44.237,20694,272.521
CrawlerDynamicLearning,6.501,13477.053,41.652,20371,200.513
CrawlerDynamicLearning,6.493,13528.950,43.655,20721,240.391
CrawlerDynamicLearning,6.504,13580.702,43.389,20551,238.557
CrawlerDynamicLearning,6.474,13631.360,42.420,20770,176.121
CrawlerDynamicLearning,6.498,13686.553,46.737,20303,154.224
CrawlerDynamicLearning,6.473,13731.186,36.585,20305,188.367
CrawlerDynamicLearning,6.490,13786.271,46.585,20951,140.353
CrawlerDynamicLearning,6.520,13839.742,45.016,20470,180.388
CrawlerDynamicLearning,6.547,13887.366,39.422,21225,213.165
CrawlerDynamicLearning,6.507,13944.594,48.627,20458,192.719
CrawlerDynamicLearning,6.488,13996.938,44.066,20818,311.370
CrawlerDynamicLearning,6.529,14044.698,39.578,20424,348.221
CrawlerDynamicLearning,6.514,14098.429,45.309,20430,206.870
CrawlerDynamicLearning,6.516,14147.439,40.741,21088,371.092
CrawlerDynamicLearning,6.483,14199.277,43.139,20248,185.211
CrawlerDynamicLearning,6.508,14250.003,42.607,20466,266.600
CrawlerDynamicLearning,6.537,14305.053,46.539,21235,279.556
CrawlerDynamicLearning,6.542,14358.286,44.871,20731,436.168
CrawlerDynamicLearning,6.558,14410.727,44.102,21006,409.571
CrawlerDynamicLearning,6.539,14459.619,40.636,20496,314.325
CrawlerDynamicLearning,6.494,14516.989,48.818,20991,349.495
CrawlerDynamicLearning,6.529,14570.494,45.016,21006,366.093
CrawlerDynamicLearning,6.524,14618.592,39.917,21006,342.026
CrawlerDynamicLearning,6.529,14669.911,42.963,20528,321.858
CrawlerDynamicLearning,6.540,14727.766,49.410,21006,342.727
CrawlerDynamicLearning,6.556,14778.871,42.850,20767,312.254
CrawlerDynamicLearning,6.548,14821.746,34.814,20410,289.551
CrawlerDynamicLearning,6.536,14875.391,45.266,21086,252.972
CrawlerDynamicLearning,6.506,14929.944,46.047,20455,293.820
CrawlerDynamicLearning,6.521,14986.941,48.485,21160,258.765
CrawlerDynamicLearning,6.512,15030.583,35.618,21153,356.807
CrawlerDynamicLearning,6.530,15086.506,47.347,21125,324.356
CrawlerDynamicLearning,6.598,15140.432,45.425,21098,385.572
CrawlerDynamicLearning,6.510,15197.233,48.198,20654,388.241
CrawlerDynamicLearning,6.523,15241.319,36.120,20623,314.591
CrawlerDynamicLearning,6.512,15296.662,46.847,21018,193.217
CrawlerDynamicLearning,6.530,15350.811,45.828,20281,395.152
CrawlerDynamicLearning,6.542,15397.634,38.665,21130,414.297
CrawlerDynamicLearning,6.525,15453.788,47.601,20949,395.383
CrawlerDynamicLearning,6.525,15503.936,41.856,20671,287.972
CrawlerDynamicLearning,6.525,15559.704,47.231,20454,315.604
CrawlerDynamicLearning,6.557,15610.861,43.090,21121,296.066
CrawlerDynamicLearning,6.503,15662.080,42.876,20973,374.706
CrawlerDynamicLearning,6.548,15715.264,44.459,20544,304.784
CrawlerDynamicLearning,6.505,15763.256,39.799,20764,194.042
CrawlerDynamicLearning,6.507,15813.911,42.324,20539,218.162
CrawlerDynamicLearning,6.513,15872.596,50.052,21088,174.231
CrawlerDynamicLearning,6.530,15924.159,43.190,20276,262.722
CrawlerDynamicLearning,6.529,15975.219,42.765,20996,189.250
CrawlerDynamicLearning,6.535,16023.803,40.358,20780,309.879
CrawlerDynamicLearning,6.563,16080.434,48.101,21001,368.472
CrawlerDynamicLearning,6.517,16128.097,39.593,20389,288.674
CrawlerDynamicLearning,6.548,16180.889,44.347,20527,300.552
CrawlerDynamicLearning,6.517,16231.809,42.792,20417,265.601
CrawlerDynamicLearning,6.493,16282.515,42.412,20250,310.694
CrawlerDynamicLearning,6.586,16338.712,47.616,20650,262.709
CrawlerDynamicLearning,6.545,16385.745,38.802,20765,274.154
CrawlerDynamicLearning,6.506,16437.701,43.604,20406,340.391
CrawlerDynamicLearning,6.511,16492.379,46.318,21070,324.756
CrawlerDynamicLearning,6.472,16543.125,42.665,20280,318.874
CrawlerDynamicLearning,6.532,16596.501,44.921,20938,317.570
CrawlerDynamicLearning,6.513,16645.483,40.741,21049,292.810
CrawlerDynamicLearning,6.536,16702.220,48.180,20619,291.602
CrawlerDynamicLearning,6.513,16752.158,41.652,21210,194.706
CrawlerDynamicLearning,6.552,16809.612,48.791,20252,309.779
CrawlerDynamicLearning,6.546,16859.301,41.392,21181,350.390
CrawlerDynamicLearning,6.565,16904.922,37.462,21082,393.640
CrawlerDynamicLearning,6.523,16961.745,48.314,20282,234.102
CrawlerDynamicLearning,6.510,17011.644,41.612,20730,218.256
CrawlerDynamicLearning,6.490,17066.519,46.501,20262,372.955
CrawlerDynamicLearning,6.537,17113.450,38.801,21041,307.090
CrawlerDynamicLearning,6.545,17168.661,46.666,20251,227.105
