Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,6.353,5650.163,15.754,20417,368.972
CrawlerDynamicLearning,6.391,5679.241,21.664,20772,347.311
CrawlerDynamicLearning,6.389,5706.234,19.717,21202,309.059
CrawlerDynamicLearning,6.387,5734.217,20.651,20788,345.429
CrawlerDynamicLearning,6.384,5763.015,21.127,20819,338.194
CrawlerDynamicLearning,6.532,5789.493,19.079,20645,323.690
CrawlerDynamicLearning,6.412,5815.621,18.885,20645,333.184
CrawlerDynamicLearning,6.412,5842.826,19.908,21110,267.862
CrawlerDynamicLearning,6.533,5869.290,19.018,20954,309.970
CrawlerDynamicLearning,6.532,5897.528,20.705,20714,385.073
CrawlerDynamicLearning,6.548,5925.188,20.221,20516,339.464
CrawlerDynamicLearning,6.521,5956.646,24.018,21135,362.165
CrawlerDynamicLearning,6.611,5984.698,20.575,21222,389.316
CrawlerDynamicLearning,6.510,6011.831,19.679,21204,353.756
CrawlerDynamicLearning,6.451,6040.830,21.423,20693,407.446
CrawlerDynamicLearning,6.453,6067.729,19.398,21234,311.484
CrawlerDynamicLearning,6.426,6096.124,20.982,21019,348.250
CrawlerDynamicLearning,6.682,6124.172,20.354,20677,301.766
CrawlerDynamicLearning,6.498,6150.495,18.951,20698,377.190
CrawlerDynamicLearning,6.373,6178.273,20.434,20719,448.604
CrawlerDynamicLearning,6.355,6204.131,18.642,20563,354.711
CrawlerDynamicLearning,6.341,6232.660,21.164,20323,339.663
CrawlerDynamicLearning,6.357,6261.118,21.134,20608,359.146
CrawlerDynamicLearning,6.410,6285.087,16.767,20530,453.094
CrawlerDynamicLearning,6.360,6312.212,19.827,21158,366.212
CrawlerDynamicLearning,6.425,6340.828,21.250,20683,383.644
CrawlerDynamicLearning,6.392,6367.418,19.296,20449,359.911
CrawlerDynamicLearning,6.400,6395.352,20.552,20739,380.403
CrawlerDynamicLearning,6.358,6423.835,21.148,21090,443.431
CrawlerDynamicLearning,6.353,6449.825,18.767,20501,400.898
CrawlerDynamicLearning,6.400,6475.743,18.616,20931,429.625
CrawlerDynamicLearning,6.420,6505.081,21.857,20743,437.069
CrawlerDynamicLearning,6.377,6532.759,20.322,20446,397.851
CrawlerDynamicLearning,6.395,6558.755,18.532,20397,383.966
CrawlerDynamicLearning,6.395,6584.869,18.807,20732,371.632
CrawlerDynamicLearning,6.397,6613.417,21.160,20681,432.435
CrawlerDynamicLearning,6.381,6639.188,18.523,20289,397.127
CrawlerDynamicLearning,6.396,6668.339,21.723,20662,359.964
CrawlerDynamicLearning,6.363,6692.580,17.041,20823,397.429
CrawlerDynamicLearning,6.355,6720.584,20.664,20669,367.497
CrawlerDynamicLearning,6.378,6747.031,19.178,20285,426.679
CrawlerDynamicLearning,6.385,6775.318,20.936,20604,373.314
CrawlerDynamicLearning,6.367,6800.229,17.723,21124,422.554
CrawlerDynamicLearning,6.496,6829.759,21.989,21133,354.294
CrawlerDynamicLearning,6.428,6858.444,21.218,20599,348.866
CrawlerDynamicLearning,6.397,6883.194,17.538,20400,357.198
CrawlerDynamicLearning,6.364,6910.771,20.283,20694,319.747
CrawlerDynamicLearning,6.433,6936.674,18.620,20766,349.514
CrawlerDynamicLearning,6.383,6964.986,20.968,20998,384.052
CrawlerDynamicLearning,6.419,6991.396,19.104,20755,370.587
CrawlerDynamicLearning,6.383,7019.351,20.588,20581,379.542
CrawlerDynamicLearning,6.394,7046.063,19.475,20559,388.354
CrawlerDynamicLearning,6.393,7073.336,19.916,20315,336.958
CrawlerDynamicLearning,6.416,7101.570,20.860,21180,398.020
CrawlerDynamicLearning,6.423,7129.699,20.746,20592,371.548
CrawlerDynamicLearning,6.443,7154.045,17.138,20942,349.110
CrawlerDynamicLearning,6.384,7182.301,20.908,20395,386.695
CrawlerDynamicLearning,6.412,7209.873,20.203,21183,366.308
CrawlerDynamicLearning,6.420,7237.847,20.607,20765,386.205
CrawlerDynamicLearning,6.382,7263.445,18.384,20824,365.777
CrawlerDynamicLearning,6.409,7291.013,20.213,20301,345.667
CrawlerDynamicLearning,6.397,7317.626,19.301,20541,443.834
CrawlerDynamicLearning,6.386,7346.013,20.830,20250,448.097
CrawlerDynamicLearning,6.386,7369.949,16.804,20260,336.132
CrawlerDynamicLearning,6.405,7396.084,18.830,20411,391.321
CrawlerDynamicLearning,6.440,7425.440,21.905,21052,398.058
CrawlerDynamicLearning,6.404,7450.324,17.693,20388,384.873
CrawlerDynamicLearning,6.374,7478.769,21.118,20784,337.620
CrawlerDynamicLearning,6.392,7507.273,21.153,21042,378.304
CrawlerDynamicLearning,6.371,7534.418,19.838,20559,400.228
CrawlerDynamicLearning,6.368,7560.142,18.489,20780,449.304
CrawlerDynamicLearning,6.411,7588.382,20.873,20877,405.740
CrawlerDynamicLearning,6.422,7613.650,18.011,20407,418.698
CrawlerDynamicLearning,6.425,7641.601,20.588,20679,408.323
CrawlerDynamicLearning,6.474,7669.612,20.616,20847,393.133
CrawlerDynamicLearning,6.436,7698.458,21.401,20499,402.715
CrawlerDynamicLearning,6.403,7722.877,17.205,21207,456.974
CrawlerDynamicLearning,6.393,7751.365,21.098,20772,367.832
CrawlerDynamicLearning,6.402,7779.000,20.255,20840,423.797
CrawlerDynamicLearning,6.407,7804.859,18.593,20554,382.342
CrawlerDynamicLearning,6.408,7832.289,20.089,21101,386.851
CrawlerDynamicLearning,6.371,7858.396,18.793,20460,398.975
CrawlerDynamicLearning,6.372,7884.683,19.018,20278,396.795
CrawlerDynamicLearning,6.373,7913.593,21.511,20512,348.524
CrawlerDynamicLearning,6.395,7941.204,20.260,20949,413.220
CrawlerDynamicLearning,6.639,7966.376,17.705,20830,410.438
CrawlerDynamicLearning,6.451,7995.474,21.584,20968,434.793
CrawlerDynamicLearning,6.387,8023.522,20.707,20923,402.223
CrawlerDynamicLearning,6.374,8051.423,20.591,20774,421.429
CrawlerDynamicLearning,6.397,8078.193,19.479,20738,472.382
CrawlerDynamicLearning,6.366,8103.309,17.932,20903,453.730
CrawlerDynamicLearning,6.385,8131.505,20.599,21176,407.469
CrawlerDynamicLearning,6.423,8160.358,21.409,20314,390.196
CrawlerDynamicLearning,6.414,8185.453,17.853,20683,386.918
CrawlerDynamicLearning,6.377,8213.334,20.559,20512,417.019
CrawlerDynamicLearning,6.406,8240.784,20.105,20535,425.750
CrawlerDynamicLearning,6.433,8267.594,19.467,20788,461.813
CrawlerDynamicLearning,6.434,8294.759,19.828,21177,477.189
CrawlerDynamicLearning,6.414,8322.728,20.583,21095,424.578
CrawlerDynamicLearning,6.432,8347.452,17.459,21365,421.854
CrawlerDynamicLearning,6.434,8377.283,22.254,21162,424.512
CrawlerDynamicLearning,6.421,8403.880,19.277,21146,424.716
CrawlerDynamicLearning,6.409,8432.164,20.920,20470,368.085
CrawlerDynamicLearning,6.401,8460.783,21.208,20987,462.948
CrawlerDynamicLearning,6.401,8485.864,17.817,20318,412.824
CrawlerDynamicLearning,6.393,8511.810,18.678,20288,424.940
CrawlerDynamicLearning,6.370,8539.736,20.612,20759,407.355
CrawlerDynamicLearning,6.424,8566.717,19.663,20507,400.350
CrawlerDynamicLearning,6.371,8593.538,19.565,20380,471.322
CrawlerDynamicLearning,6.393,8620.453,19.647,20507,458.789
CrawlerDynamicLearning,6.378,8647.861,20.107,20432,457.137
CrawlerDynamicLearning,6.393,8674.945,19.745,20518,462.702
CrawlerDynamicLearning,6.412,8701.684,19.419,20916,450.320
CrawlerDynamicLearning,6.411,8728.136,19.143,20435,452.266
CrawlerDynamicLearning,6.387,8755.393,19.908,20312,475.648
CrawlerDynamicLearning,6.385,8783.428,20.689,20844,425.588
CrawlerDynamicLearning,6.391,8810.035,19.304,20380,412.720
CrawlerDynamicLearning,6.403,8835.327,18.077,20262,488.560
CrawlerDynamicLearning,6.419,8862.269,19.641,20451,390.631
CrawlerDynamicLearning,6.371,8888.020,18.551,20439,405.223
CrawlerDynamicLearning,6.398,8917.177,21.525,20340,369.651
CrawlerDynamicLearning,6.441,8941.634,17.190,21633,421.056
CrawlerDynamicLearning,6.408,8970.434,21.399,20910,418.072
CrawlerDynamicLearning,6.392,8998.601,20.760,20858,488.948
CrawlerDynamicLearning,6.390,9026.037,20.090,20405,392.300
CrawlerDynamicLearning,6.406,9053.574,20.235,21060,428.972
CrawlerDynamicLearning,6.411,9080.351,19.471,20873,405.323
CrawlerDynamicLearning,6.431,9107.281,19.609,20445,430.753
CrawlerDynamicLearning,6.396,9134.538,19.918,20527,409.294
CrawlerDynamicLearning,6.430,9160.356,18.512,20674,413.145
CrawlerDynamicLearning,6.387,9188.048,20.367,20881,435.466
CrawlerDynamicLearning,6.395,9214.364,19.026,21134,446.122
CrawlerDynamicLearning,6.398,9242.235,20.554,20624,434.118
CrawlerDynamicLearning,6.386,9272.552,22.849,21191,451.137
CrawlerDynamicLearning,6.393,9298.647,18.864,20448,457.850
CrawlerDynamicLearning,6.412,9323.182,17.331,20885,480.296
CrawlerDynamicLearning,6.512,9351.967,21.217,21155,413.403
CrawlerDynamicLearning,6.432,9379.804,20.415,21239,365.157
CrawlerDynamicLearning,6.405,9405.602,18.531,20926,440.630
CrawlerDynamicLearning,6.430,9434.521,21.458,20317,466.020
CrawlerDynamicLearning,6.402,9460.620,18.794,20291,405.423
CrawlerDynamicLearning,6.350,9487.821,19.928,20516,417.059
CrawlerDynamicLearning,6.451,9514.969,19.737,20678,434.490
CrawlerDynamicLearning,6.426,9542.504,20.173,21036,462.988
CrawlerDynamicLearning,6.409,9569.723,19.865,20580,422.724
CrawlerDynamicLearning,6.359,9596.077,19.121,20295,450.150
CrawlerDynamicLearning,6.349,9624.073,20.661,20706,450.587
CrawlerDynamicLearning,6.406,9650.011,18.649,21001,527.714
CrawlerDynamicLearning,6.400,9677.788,20.446,20451,482.945
CrawlerDynamicLearning,6.432,9704.255,18.919,20511,448.244
CrawlerDynamicLearning,6.402,9731.229,19.680,20491,427.547
CrawlerDynamicLearning,6.410,9756.447,17.978,20325,406.687
CrawlerDynamicLearning,6.381,9785.746,21.957,20559,432.103
CrawlerDynamicLearning,6.402,9812.239,19.174,20631,416.544
CrawlerDynamicLearning,6.411,9839.209,19.661,20260,467.583
CrawlerDynamicLearning,6.376,9868.298,21.703,20959,453.706
CrawlerDynamicLearning,6.458,9892.323,16.789,20635,426.309
CrawlerDynamicLearning,6.372,9920.608,20.925,20387,416.779
CrawlerDynamicLearning,6.397,9949.013,21.044,20813,487.254
CrawlerDynamicLearning,6.390,9973.908,17.689,20305,389.659
CrawlerDynamicLearning,6.423,10001.093,19.804,20303,474.810
CrawlerDynamicLearning,6.378,10028.139,19.739,20505,429.009
CrawlerDynamicLearning,6.369,10053.234,17.918,20285,449.554
CrawlerDynamicLearning,6.402,10082.558,21.893,20384,474.435
CrawlerDynamicLearning,6.385,10109.448,19.563,20560,446.664
CrawlerDynamicLearning,6.374,10136.095,19.341,20321,455.618
CrawlerDynamicLearning,6.384,10162.233,18.863,20250,429.759
CrawlerDynamicLearning,6.410,10189.660,20.081,20266,409.987
CrawlerDynamicLearning,6.398,10217.992,20.958,21093,373.378
CrawlerDynamicLearning,6.378,10242.584,17.406,20461,416.520
CrawlerDynamicLearning,6.358,10271.099,21.172,20544,377.890
CrawlerDynamicLearning,6.452,10296.708,18.313,20659,394.119
CrawlerDynamicLearning,6.401,10323.573,19.574,21557,455.509
CrawlerDynamicLearning,6.406,10351.179,20.278,20510,500.832
CrawlerDynamicLearning,6.370,10379.357,20.820,20435,473.744
CrawlerDynamicLearning,6.427,10405.067,18.408,20789,472.099
